date,time,date_from,date_to,canton,source,count,url
,,2020-09-28,2020-10-04,SH,"Familie",6,https://sh.ch/CMS/get/file/a440dcb6-224e-4173-b321-3da37b7a0220
,,2020-09-28,2020-10-04,SH,"Private Veranstaltung",5,https://sh.ch/CMS/get/file/a440dcb6-224e-4173-b321-3da37b7a0220
,,2020-09-28,2020-10-04,SH,"Unbekannt",6,https://sh.ch/CMS/get/file/a440dcb6-224e-4173-b321-3da37b7a0220
,,2020-09-28,2020-10-04,SH,"Öffentliche Veranstaltung",0,https://sh.ch/CMS/get/file/a440dcb6-224e-4173-b321-3da37b7a0220
,,2020-10-02,2020-11-08,SH,"Arbeit",39,https://sh.ch/CMS/get/file/31edec96-9f88-4cb0-a764-97d0e4fad0a2
,,2020-10-02,2020-11-08,SH,"Ausland",2,https://sh.ch/CMS/get/file/31edec96-9f88-4cb0-a764-97d0e4fad0a2
,,2020-10-02,2020-11-08,SH,"Familie",72,https://sh.ch/CMS/get/file/31edec96-9f88-4cb0-a764-97d0e4fad0a2
,,2020-10-02,2020-11-08,SH,"Private Veranstaltung",11,https://sh.ch/CMS/get/file/31edec96-9f88-4cb0-a764-97d0e4fad0a2
,,2020-10-02,2020-11-08,SH,"Unbekannt",139,https://sh.ch/CMS/get/file/31edec96-9f88-4cb0-a764-97d0e4fad0a2
,,2020-10-02,2020-11-08,SH,"Öffentliche Veranstaltung",1,https://sh.ch/CMS/get/file/31edec96-9f88-4cb0-a764-97d0e4fad0a2
,,2020-10-12,2020-10-18,SH,"Arbeit",6,https://sh.ch/CMS/get/file/d76ad4b5-bea6-44d8-9f9b-53a7278ba688
,,2020-10-12,2020-10-18,SH,"Ausland",3,https://sh.ch/CMS/get/file/d76ad4b5-bea6-44d8-9f9b-53a7278ba688
,,2020-10-12,2020-10-18,SH,"Familie",18,https://sh.ch/CMS/get/file/d76ad4b5-bea6-44d8-9f9b-53a7278ba688
,,2020-10-12,2020-10-18,SH,"Private Veranstaltung",6,https://sh.ch/CMS/get/file/d76ad4b5-bea6-44d8-9f9b-53a7278ba688
,,2020-10-12,2020-10-18,SH,"Unbekannt",27,https://sh.ch/CMS/get/file/d76ad4b5-bea6-44d8-9f9b-53a7278ba688
,,2020-10-12,2020-10-18,SH,"Öffentliche Veranstaltung",0,https://sh.ch/CMS/get/file/d76ad4b5-bea6-44d8-9f9b-53a7278ba688
